,Id (Review),Review,Sentiment
0,309371,L3 right screen not responding. L3 means 440V as opposed to 220V or 110V. It is like a binary order of magnitude. If you do not understand that then you should propose a better simple system for regular EV users.,NEGATIVE
1,309365,yea ... and same for other ahole evs who couldnt bother to move entire day,NEGATIVE
2,309362,none available,NEGATIVE
3,309358,Got an hour in while grabbing a late bite at the Lazy Dog across the street. ,POSITIVE
4,309357,"Easy to find , bathroom inside Walgreens closes at 12a . ",POSITIVE
5,309355,"Right L2 blinking its head off, no touchscreen message. What kind of companies are these, Blink and Twin Peaks, to leave their public 220 V appliances powered on, advertised, and out of order for months on end??",NEGATIVE
6,309354,ABB broken (the unit with CCS and CHAdeMO). Nissan CHAdeMO is fine.,NEGATIVE
7,309352,wtf thanks to all the aholes with volts and priuses who were plugged in for whole f**king day so i couldnt charge even though i checked twice during the day,NEGATIVE
8,309349,Chargers 1 thru 4 have been down since Thursday 9/10/15. Called NRG but not fixed yet as of 10:30pm on Sunday 9/13/15. Called again tonight and supposedly they're sending someone within 24 hours. ,NEGATIVE
9,309346,"As previous person reported, this business/building is no longer here, so no charging.",NEGATIVE
10,309345,Just behind the Avis/Budget. Easy to find.,POSITIVE
11,309337,CCS/SAE COMBO cable is installed but door would not open.  ,NEGATIVE
12,309334,"Why bother going the extra mile for being green, when infrastructure let's us stranded left and right. Shopping for a new car and it will not be zero emissions. Benzine her I come again!",NEGATIVE
13,309333,"In ""authorized vehicles only"" area. Ask at front desk before using. Try not to block loading dock--they need to use it. ",POSITIVE
14,309332,"My backpack was stolen from my car while charging here on a Sunday. The 2 security cameras pointed at the loading dock did not record anything. Bad people in this area, avoid this place. ",NEGATIVE
15,309330,Depending on your driving habit you'll get 20 miles of range for an hour of charge time here.,NEGATIVE
16,309328,all three chargers are functional,POSITIVE
17,309325,"First visit to Royal Farms on our return trip to West Virginia from the Annapolis NDEW event. Wonderful facility, set-up perfectly for a 30 minute quick-charge. By the time we used the restroom, munched on some of their fantastic fried chicken, and checked e-mails, the car was charged and ready to go. Only ""complaint"" (nitpicky) is the lack of public wifi. Similar chains of this type (I'm looking at you Sheetz) would do well to emulate these guys. Will look to make other Royal Farms locations part of our EV road trips across the State of Maryland!",POSITIVE
18,309319,Visited again on our way back to West Virginia from the Annapolis NDEW event. Many thanks to the Howard County government for this wonderful charging station!,POSITIVE
19,309316,"If you get an error, try twisting (not pushing!) the emergency stop button a d retrying. Happened to me but its an easy fix. Somebody keeps going around pushing the emergency buttons on the very few ev chargers, this is not cool because the other machines require a technician to reset the machine. ",NEGATIVE
20,309314,"No chargers appear available, no people around, building appears vacant and property not kept up, for sale sign in front of building at 2900 Ogden Ave, lisle, IL.",NEGATIVE
